"Player","Pos","X3P","X3PA","X3P.","year"
"Brian Roberts","PG",59,153,0.386,"2012"
"Nate Robinson","PG",141,348,0.405,"2012"
"Thomas Robinson","PF",0,1,0,"2012"
"Thomas Robinson","PF",0,1,0,"2012"
"Rajon Rondo","PG",12,50,0.24,"2012"
"Terrence Ross","SG",65,196,0.332,"2012"
"Brandon Roy","SG",0,9,0,"2012"
"Ricky Rubio","PG",27,92,0.293,"2012"
"Brandon Rush","SF",0,2,0,"2012"
"John Salmons","SF",99,267,0.371,"2012"
"Samardo Samuels","C",0,1,0,"2012"
"Larry Sanders","C",0,2,0,"2012"
"Luis Scola","PF",3,16,0.188,"2012"
"Mike Scott","PF",0,1,0,"2012"
"Thabo Sefolosha","SG",108,258,0.419,"2012"
"Josh Selby","PG",1,6,0.167,"2012"
"Ramon Sessions","SG",33,107,0.308,"2012"
"Tornike Shengelia","SF",1,2,0.5,"2012"
"Iman Shumpert","SG",51,127,0.402,"2012"
"Alexey Shved","SG",85,288,0.295,"2012"
"Kyle Singler","SF",70,200,0.35,"2012"
"Chris Singleton","PF",7,36,0.194,"2012"
"Donald Sloan","SG-PG",7,19,0.368,"2012"
"Donald Sloan","SG",7,19,0.368,"2012"
"Greg Smith","C",0,1,0,"2012"
"Ish Smith","PG",8,27,0.296,"2012"
"Ish Smith","PG",4,17,0.235,"2012"
"Ish Smith","PG",4,10,0.4,"2012"
"J.R. Smith","SG",155,436,0.356,"2012"
"Jason Smith","C",0,4,0,"2012"
"Josh Smith","PF",61,201,0.303,"2012"
"Nolan Smith","PG",6,28,0.214,"2012"
"Marreese Speights","C",3,10,0.3,"2012"
"Marreese Speights","C",2,5,0.4,"2012"
"Marreese Speights","C",1,5,0.2,"2012"
"Tiago Splitter","PF",0,2,0,"2012"
"Jerry Stackhouse","SF",30,89,0.337,"2012"
"Lance Stephenson","SG",62,188,0.33,"2012"
"DeShawn Stevenson","SG",76,209,0.364,"2012"
"Rodney Stuckey","SG",55,182,0.302,"2012"
"Jared Sullinger","PF",1,5,0.2,"2012"
"Jeff Taylor","SF",53,154,0.344,"2012"
"Tyshawn Taylor","PG",6,13,0.462,"2012"
"Jeff Teague","PG",89,248,0.359,"2012"
"Marquis Teague","PG",4,23,0.174,"2012"
"Mirza Teletović","PF",37,108,0.343,"2012"
"Sebastian Telfair","PG",53,150,0.353,"2012"
"Sebastian Telfair","PG",43,113,0.381,"2012"
"Sebastian Telfair","PG",10,37,0.27,"2012"
"Garrett Temple","SG",26,80,0.325,"2012"
"Jason Terry","SG",123,331,0.372,"2012"
"Isaiah Thomas","PG",115,321,0.358,"2012"
"Kurt Thomas","PF",1,1,1,"2012"
"Tyrus Thomas","PF",3,8,0.375,"2012"
"Jason Thompson","PF",0,3,0,"2012"
"Klay Thompson","SG",211,526,0.401,"2012"
"Tristan Thompson","PF",0,3,0,"2012"
"Marcus Thornton","SG",141,379,0.372,"2012"
"Jamaal Tinsley","PG",39,127,0.307,"2012"
"Anthony Tolliver","SF",45,133,0.338,"2012"
"P.J. Tucker","SG",22,70,0.314,"2012"
"Hedo Türkoğlu","SF",1,24,0.042,"2012"
"Evan Turner","SF",58,159,0.365,"2012"
"Ekpe Udoh","C",0,1,0,"2012"
"Beno Udrih","SG-PG",34,102,0.333,"2012"
"Beno Udrih","SG",13,49,0.265,"2012"
"Beno Udrih","PG",21,53,0.396,"2012"
"Anderson Varejão","C",0,5,0,"2012"
"Greivis Vásquez","PG",83,243,0.342,"2012"
"Jan Veselý","PF",0,1,0,"2012"
"Charlie Villanueva","PF",90,259,0.347,"2012"
"Nikola Vučević","C",0,3,0,"2012"
"Dwyane Wade","SG",17,66,0.258,"2012"
"Dion Waiters","SG",63,203,0.31,"2012"
"Kemba Walker","PG",107,332,0.322,"2012"
"John Wall","PG",12,45,0.267,"2012"
"Gerald Wallace","SF",46,163,0.282,"2012"
"Rasheed Wallace","C",22,69,0.319,"2012"
"Luke Walton","PF",20,67,0.299,"2012"
"Hakim Warrick","PF",0,3,0,"2012"
"Hakim Warrick","PF",0,3,0,"2012"
"C.J. Watson","PG",88,214,0.411,"2012"
"Earl Watson","PG",5,28,0.179,"2012"
"Maalik Wayns","PG",7,31,0.226,"2012"
"Maalik Wayns","PG",5,25,0.2,"2012"
"Maalik Wayns","PG",2,6,0.333,"2012"
"Martell Webster","SF",139,329,0.422,"2012"
"David West","PF",4,19,0.211,"2012"
"Russell Westbrook","PG",97,300,0.323,"2012"
"James White","SF",14,41,0.341,"2012"
"Chris Wilcox","C",0,1,0,"2012"
"Damien Wilkins","SG",17,51,0.333,"2012"
"Deron Williams","PG",169,447,0.378,"2012"
"Derrick Williams","PF",65,196,0.332,"2012"
"Lou Williams","SG",72,196,0.367,"2012"
"Marvin Williams","SF",54,166,0.325,"2012"
"Mo Williams","PG",59,154,0.383,"2012"
"Reggie Williams","SF",22,72,0.306,"2012"
"Terrence Williams","SF",5,15,0.333,"2012"
"Metta World Peace","SF",141,412,0.342,"2012"
"Brandan Wright","C",0,3,0,"2012"
"Dorell Wright","SF",135,361,0.374,"2012"
"Tony Wroten","SG",4,16,0.25,"2012"
"Nick Young","SG",75,210,0.357,"2012"
"Sam Young","SG",16,52,0.308,"2012"
"Thaddeus Young","PF",1,8,0.125,"2012"
"Luke Zeller","C",1,5,0.2,"2012"
"Tyler Zeller","C",0,4,0,"2012"
